preset,type,scene_id,psnr,ssim,latency_ms
sidd32,haze_snow,00008,10.43850490861561,0.44336074590682983,829.2988759999389
sidd32,haze_snow,00010,16.370546983716334,0.6052564382553101,824.9036699999124
sidd32,haze_snow,00013,11.045248627195969,0.570489227771759,821.9335159999446
sidd32,haze_snow,00018,13.742079820372313,0.5420322418212891,824.793998000132
sidd32,low_haze_rain,00002,14.08774165932554,0.5600321292877197,846.1775470000248
sidd32,low_haze_rain,00008,12.717151084233478,0.38208213448524475,819.5136290000846
sidd32,low_haze_rain,00010,14.635293117498911,0.411521315574646,818.0041860000529
sidd32,low_haze_rain,00013,13.440746611097891,0.5220044255256653,825.9697070000129
sidd32,low_haze_rain,00018,14.247396643014309,0.41967323422431946,814.630692000037
sidd32,low_haze_snow,00002,14.068407347545078,0.5497978329658508,818.5155999999552
sidd32,low_haze_snow,00008,9.486991877786501,0.3184157609939575,815.3019189999213
sidd32,low_haze_snow,00010,13.962534291629732,0.3809583783149719,804.2423790000157
sidd32,low_haze_snow,00013,12.269263056593406,0.48138219118118286,843.0642690000241
sidd32,low_haze_snow,00018,14.214375831405395,0.4123535752296448,807.5117739999769
sidd64,low,00002,13.856315764133416,0.6393768191337585,1216.0196290001295
sidd64,low,00008,13.16102330235438,0.3870862126350403,1176.9858479999584
sidd64,low,00010,10.946232445643517,0.4114236533641815,1180.0484279999637
sidd64,low,00013,15.296499709806987,0.5327364802360535,1180.7050750001054
sidd64,low,00018,10.070161622160912,0.363201767206192,1183.9717220000239
sidd64,haze,00002,14.766230027792135,0.6811779737472534,1169.076677000021
sidd64,haze,00008,12.91666898189554,0.4738805294036865,1176.8542830000115
sidd64,haze,00010,16.455136230965298,0.660126805305481,1171.8566629999714
sidd64,haze,00013,14.85148738084023,0.6462256908416748,1169.9392840000655
sidd64,haze,00018,12.241884005573311,0.4358265995979309,1178.5225859998718
sidd64,rain,00002,18.08555465012884,0.7207139730453491,1184.0609659998336
sidd64,rain,00008,16.729163770423522,0.6387264728546143,1176.4362450001045
sidd64,rain,00010,19.134870372199654,0.7826416492462158,1177.2010970000792
sidd64,rain,00013,22.50085456364974,0.791113018989563,1182.6302629999645
sidd64,rain,00018,15.604422765716912,0.658873438835144,1176.4246380000714
sidd64,snow,00002,22.480673103568577,0.8352863788604736,1191.0993379999582
sidd64,snow,00008,19.25883903839212,0.6599175930023193,1186.5187220000735
sidd64,snow,00010,22.65668474092935,0.8152738809585571,1202.148490000127
sidd64,snow,00013,18.93345181081849,0.7572606801986694,1182.227899000054
sidd64,snow,00018,16.94577530950532,0.6484180092811584,1193.0221259999598
sidd64,low_haze,00002,14.301492941174033,0.6110564470291138,1192.269670000087
sidd64,low_haze,00008,11.611392434763692,0.31870609521865845,1191.545270000006
sidd64,low_haze,00010,14.099874866199713,0.42334407567977905,1193.1039959999907
sidd64,low_haze,00013,13.869504079006628,0.5195643305778503,1211.7061289998219
sidd64,low_haze,00018,13.925128988636848,0.3881794214248657,1202.8105750000577
sidd64,low_rain,00002,13.580383624389738,0.5601451396942139,1197.062934000087
sidd64,low_rain,00008,13.804521127162309,0.42048266530036926,1195.9503410000707
sidd64,low_rain,00010,17.443857375978705,0.5107293725013733,1212.0892799998728
sidd64,low_rain,00013,16.771518525422877,0.44112685322761536,1210.3320179999173
sidd64,low_rain,00018,13.601909421284397,0.48104915022850037,1204.798154999935
sidd64,low_snow,00002,15.718880693403513,0.559696614742279,1200.7762530001855
sidd64,low_snow,00008,10.71993540319511,0.299747496843338,1206.6557989999183
sidd64,low_snow,00010,10.734365607391535,0.35286298394203186,1200.351744000045
sidd64,low_snow,00013,14.4504716635637,0.46715018153190613,1209.585597999876
sidd64,low_snow,00018,13.533804418303008,0.4755982756614685,1198.7678230000256
sidd64,haze_rain,00002,13.893725368141418,0.587410032749176,1219.906730000048
sidd64,haze_rain,00008,13.02141335521206,0.4655263125896454,1201.1635309997928
sidd64,haze_rain,00010,12.918150631907173,0.6036421060562134,1194.774458999973
sidd64,haze_rain,00013,10.047694317604009,0.4330044686794281,1193.3985850000681
sidd64,haze_rain,00018,8.854140720402528,0.30051949620246887,1189.3994670001575
sidd64,haze_snow,00002,13.06995882792593,0.5413886904716492,1184.60535600002
sidd64,haze_snow,00008,10.398333602852414,0.4250973165035248,1192.185820000077
sidd64,haze_snow,00010,16.344816865720638,0.604120135307312,1200.8335759999227
sidd64,haze_snow,00013,11.009251986264822,0.567453920841217,1191.8315399998392
sidd64,haze_snow,00018,11.907373961509,0.41400039196014404,1180.0515079999059
sidd64,low_haze_rain,00002,14.151724696513297,0.5723843574523926,1192.426080999894
sidd64,low_haze_rain,00008,12.68912526712348,0.37444645166397095,1191.7013879999558
sidd64,low_haze_rain,00010,14.634533006363643,0.39636337757110596,1189.7189750000052
sidd64,low_haze_rain,00013,13.434867835849982,0.521438717842102,1193.8041329999578
sidd64,low_haze_rain,00018,14.295189074221435,0.41940024495124817,1179.6127889999752
sidd64,low_haze_snow,00002,14.172172974134735,0.5595793128013611,1180.495454000038
sidd64,low_haze_snow,00008,9.482973868502336,0.3185748755931854,1176.625427999852
sidd64,low_haze_snow,00010,13.935330010800637,0.36635538935661316,1177.635933000147
sidd64,low_haze_snow,00013,12.250946637231612,0.48634615540504456,1179.2918470000586
sidd64,low_haze_snow,00018,14.261147795736878,0.4052882790565491,1186.2995040000897
