split,type,scene_id,input_psnr,input_ssim,psnr,ssim,delta_psnr,delta_ssim,latency_ms,prob_low,prob_haze,prob_rain,prob_snow,degradation_exact_match,gate_mean_abs
validation,haze_snow,00110,21.21836123883112,0.921520471572876,22.819734336406064,0.9123429656028748,1.601373097574946,-0.00917750597000122,326.73893400010456,0.4573790431022644,0.4958001375198364,0.5103439688682556,0.468030720949173,False,0.005413055419921875
validation,haze_snow,00122,11.795658749134716,0.5798597931861877,15.816086202323408,0.6906401515007019,4.020427453188692,0.11078035831451416,326.9093439998869,0.45750027894973755,0.49127286672592163,0.5152464509010315,0.47116243839263916,False,0.00357818603515625
validation,haze_snow,00127,11.139944056727778,0.5802179574966431,18.971266654072846,0.7825109958648682,7.831322597345068,0.2022930383682251,326.7110459999003,0.4532921016216278,0.4941104054450989,0.5115641355514526,0.4635656476020813,False,0.0034885406494140625
validation,low_haze_rain,00059,16.17319632128504,0.3419407308101654,17.580140544652142,0.508579432964325,1.406944223367102,0.16663870215415955,326.57546599989473,0.45877304673194885,0.4917457401752472,0.5151168704032898,0.4644157588481903,False,0.0033550262451171875
validation,low_haze_rain,00065,13.26968752951319,0.4333617091178894,16.519183351740622,0.5355097651481628,3.2494958222274324,0.10214805603027344,326.2475750000249,0.4494832456111908,0.4937136769294739,0.5130204558372498,0.4604102373123169,False,0.0057220458984375
validation,low_haze_rain,00110,16.549723582524443,0.6172915697097778,21.67712554624098,0.6699936389923096,5.127401963716537,0.05270206928253174,326.1055819998546,0.4595005512237549,0.4899992048740387,0.5188509225845337,0.4716186821460724,False,0.006198883056640625
validation,low_haze_rain,00122,12.14911582024095,0.24633081257343292,13.946058746687475,0.2923293113708496,1.7969429264465244,0.04599849879741669,325.67258599988236,0.4531710743904114,0.4892137050628662,0.5159248113632202,0.4657519459724426,False,0.0037059783935546875
validation,low_haze_rain,00127,10.099668553810428,0.40313833951950073,15.77515564938871,0.5287122130393982,5.675487095578282,0.12557387351989746,324.9426150000545,0.4527778625488281,0.4967956840991974,0.5087500214576721,0.4642031788825989,False,0.0034923553466796875
validation,low_haze_snow,00059,13.325847192297145,0.5613639950752258,16.032813504064126,0.6145008206367493,2.7069663117669815,0.05313682556152344,325.3154290000566,0.4620482623577118,0.5026283264160156,0.5140725374221802,0.4688210189342499,False,0.005756378173828125
validation,low_haze_snow,00065,12.335242053012838,0.4372805058956146,14.717516608561393,0.5333976149559021,2.3822745555485554,0.09611710906028748,331.5762199999881,0.45413926243782043,0.4934352934360504,0.5138819217681885,0.4618358314037323,False,0.0040740966796875
validation,low_haze_snow,00110,13.471806102220945,0.4489792585372925,21.45130870355741,0.6162900328636169,7.979502601336463,0.16731077432632446,328.1530950000615,0.4612594246864319,0.4966927468776703,0.5193384885787964,0.47043249011039734,False,0.00901031494140625
validation,low_haze_snow,00122,12.852289420187034,0.3352140486240387,14.962826623038087,0.3882603347301483,2.1105372028510523,0.05304628610610962,328.62078099992686,0.4577426314353943,0.49322935938835144,0.5176928043365479,0.47476813197135925,False,0.004405975341796875
validation,low_haze_snow,00127,11.339483403449703,0.3812287151813507,15.075008476094178,0.47217869758605957,3.7355250726444744,0.09094998240470886,323.8511329998346,0.45953086018562317,0.5003952980041504,0.5107862949371338,0.46566084027290344,False,0.003536224365234375
