model,sample,method,psnr,input_psnr,delta_vs_input_db,restored_fraction
a2l,low_rain_00059,oracle_block_8,25.109885154102514,16.10800411480679,9.001881039295725,0.9419753086419753
a2l,low_snow_00059,input,15.322570251646553,15.322570251646553,0.0,0.0
a2l,low_snow_00059,restored,20.134176201310282,15.322570251646553,4.811605949663729,1.0
a2l,low_snow_00059,fixed_beta_0.95,20.272806413634946,15.322570251646553,4.950236161988393,0.9500000000000001
a2l,low_snow_00059,oracle_image,20.134176201310282,15.322570251646553,4.811605949663729,1.0
a2l,low_snow_00059,oracle_block_32,21.083121547525696,15.322570251646553,5.760551295879143,0.851358024691358
a2l,low_snow_00059,oracle_block_8,21.807488791556647,15.322570251646553,6.484918539910094,0.819917695473251
a2l,rain_00059,input,31.43951744874268,31.43951744874268,0.0,0.0
a2l,rain_00059,restored,29.58534589558161,31.43951744874268,-1.8541715531610699,1.0
a2l,rain_00059,fixed_beta_0.95,30.141662676649126,31.43951744874268,-1.2978547720935545,0.9500000000000001
a2l,rain_00059,oracle_image,31.43951744874268,31.43951744874268,0.0,0.0
a2l,rain_00059,oracle_block_32,33.129211145649286,31.43951744874268,1.6896936969066054,0.43753086419753084
a2l,rain_00059,oracle_block_8,33.87005329959631,31.43951744874268,2.4305358508536266,0.4835390946502058
a2l,snow_00059,input,33.12709635187046,33.12709635187046,0.0,0.0
a2l,snow_00059,restored,27.086395320054727,33.12709635187046,-6.040701031815736,1.0
a2l,snow_00059,fixed_beta_0.95,27.512993538897565,33.12709635187046,-5.614102812972899,0.9500000000000001
a2l,snow_00059,oracle_image,33.12709635187046,33.12709635187046,0.0,0.0
a2l,snow_00059,oracle_block_32,35.40333773151116,33.12709635187046,2.2762413796406946,0.06584362139917696
a2l,snow_00059,oracle_block_8,39.03168525448354,33.12709635187046,5.904588902613078,0.028724279835390946
a3m,haze_00059,input,14.415828091837176,14.415828091837176,0.0,0.0
a3m,haze_00059,restored,23.27460918097961,14.415828091837176,8.858781089142434,1.0
a3m,haze_00059,fixed_beta_0.88,23.3376057501572,14.415828091837176,8.921777658320023,0.88
a3m,haze_00059,oracle_image,23.27460918097961,14.415828091837176,8.858781089142434,1.0
a3m,haze_00059,oracle_block_32,25.520089868124888,14.415828091837176,11.104261776287712,0.8574485596707819
a3m,haze_00059,oracle_block_8,25.711359828550492,14.415828091837176,11.295531736713317,0.8448559670781893
a3m,haze_rain_00059,input,16.375845419483124,16.375845419483124,0.0,0.0
a3m,haze_rain_00059,restored,20.050963431825835,16.375845419483124,3.675118012342711,1.0
a3m,haze_rain_00059,fixed_beta_0.88,20.962027707542937,16.375845419483124,4.586182288059813,0.88
a3m,haze_rain_00059,oracle_image,20.050963431825835,16.375845419483124,3.675118012342711,1.0
a3m,haze_rain_00059,oracle_block_32,24.436076675430797,16.375845419483124,8.060231255947674,0.7211522633744856
a3m,haze_rain_00059,oracle_block_8,24.700707037379203,16.375845419483124,8.32486161789608,0.7040329218106995
a3m,haze_snow_00059,input,13.736240236780263,13.736240236780263,0.0,0.0
a3m,haze_snow_00059,restored,22.731747231414488,13.736240236780263,8.995506994634225,1.0
a3m,haze_snow_00059,fixed_beta_0.88,22.667876911619572,13.736240236780263,8.931636674839309,0.88
a3m,haze_snow_00059,oracle_image,22.731747231414488,13.736240236780263,8.995506994634225,1.0
a3m,haze_snow_00059,oracle_block_32,24.51442947120071,13.736240236780263,10.778189234420447,0.8554732510288066
a3m,haze_snow_00059,oracle_block_8,24.74506411823919,13.736240236780263,11.008823881458925,0.8392592592592593
a3m,low_00059,input,14.274983235246454,14.274983235246454,0.0,0.0
a3m,low_00059,restored,25.802213979691043,14.274983235246454,11.527230744444589,1.0
a3m,low_00059,fixed_beta_0.88,25.341854232464613,14.274983235246454,11.066870997218158,0.88
a3m,low_00059,oracle_image,25.802213979691043,14.274983235246454,11.527230744444589,1.0
a3m,low_00059,oracle_block_32,25.80628493708041,14.274983235246454,11.531301701833955,0.9980246913580247
a3m,low_00059,oracle_block_8,25.838398128926322,14.274983235246454,11.563414893679868,0.9906995884773663
a3m,low_haze_00059,input,16.260416600341657,16.260416600341657,0.0,0.0
a3m,low_haze_00059,restored,22.779787157001365,16.260416600341657,6.519370556659709,1.0
